Price,Close,High,Low,Open,Volume
Ticker,BDX,BDX,BDX,BDX,BDX
Date,,,,,
2020-01-02,242.04339599609375,242.8515804963312,239.67218067221543,241.64374859404452,1725895
2020-01-03,239.4235382080078,240.70240444001917,238.37555407123367,238.41997477515432,1601973
2020-01-06,242.78939819335938,243.07359065510894,236.81246680084524,238.86398634290606,1603408
2020-01-07,242.21217346191406,242.91376498455142,239.90310255436725,241.19083066524954,1366223
2020-01-08,242.80718994140625,244.70772365353756,241.17306931303588,242.37201153086238,1443713
2020-01-09,242.93145751953125,244.41459191278398,242.39860367977363,244.04158589086512,960015
2020-01-10,243.74855041503906,245.37375336301403,242.97589700845418,244.3435766011981,997223
2020-01-13,245.29383850097656,245.54249995057177,242.8071684444282,243.7485594110724,1308515
2020-01-14,245.08078002929688,246.4040393642442,242.69178479976839,244.3347676811207,1477538
2020-01-15,246.27078247070312,248.33116403474753,244.92974401369236,245.04519894351517,1156918
2020-01-16,245.88888549804688,247.77166759051715,243.67751801014856,247.49636481162878,927010
2020-01-17,246.07537841796875,247.27432051398944,244.49454056695484,246.6437633126484,1200173
2020-01-21,246.47511291503906,246.9457946684566,244.50351669702593,245.86230710741128,1322968
2020-01-22,247.6295623779297,248.2245886147905,246.59049583246517,247.08781875567738,1075943
2020-01-23,247.54075622558594,248.9261875880876,245.72014645692465,247.5230046136143,1162863
2020-01-24,247.11441040039062,249.16592955202114,246.51049458903086,248.29560072116,1268028
2020-01-27,248.44662475585938,249.0860717329067,242.5407549259675,243.6952764708068,1628520
2020-01-28,250.67578125,251.94575777574184,248.5176962357655,248.8995642730147,1224670
2020-01-29,250.6224822998047,252.17665121817302,249.90311141516534,251.37735640864057,950790
2020-01-30,249.69000244140625,250.45376631218426,248.26903994221396,248.66868738138072,1406403
2020-01-31,244.38803100585938,249.53902723215393,243.77525305559752,248.26016092785142,1779810
2020-02-03,248.0558624267578,250.22283701493333,245.8800259226084,246.20861132116414,1826653
2020-02-04,252.62069702148438,254.3613549442659,250.88001131840468,251.58160274870644,1300315
2020-02-05,253.98838806152344,254.63669690903367,251.82141358574734,254.29033213589412,1436948
2020-02-06,224.02378845214844,233.30446342970185,214.6987066696607,224.68986274586572,10305248
2020-02-07,219.28134155273438,223.5531183238509,218.89945965519811,223.4465392019,3805415
2020-02-10,223.8017578125,224.56553542271408,218.95272076832364,219.55663665638608,2668690
2020-02-11,227.71832275390625,230.2405379601479,224.76094302126987,225.2760453640457,2670125
2020-02-12,224.0060577392578,228.5797787858367,222.08775847499547,228.0291593214102,2442985
2020-02-13,225.88882446289062,227.74495128581097,222.78934866407383,223.85507040477805,1944528
2020-02-14,231.1019744873047,231.20855360471862,225.24938775928166,226.49272282483034,2378513
2020-02-18,227.35418701171875,232.4962925255064,227.06110486016493,231.572667043631,1888153
2020-02-19,227.41636657714844,229.49452757714982,227.0167191625212,228.41992996192593,1578705
2020-02-20,225.09840393066406,228.90836086354852,223.82842754646902,226.74140028420786,1160300
2020-02-21,228.55313110351562,229.83199724402905,224.13927192457768,224.29911977452912,1914393
2020-02-24,222.49624633789062,224.5655312115501,221.4127591938401,222.57618414254182,1678745
2020-02-25,217.9669189453125,223.97936657430662,215.94204100534733,223.1889477239059,2279088
