Price,Close,High,Low,Open,Volume
Ticker,CBOE,CBOE,CBOE,CBOE,CBOE
Date,,,,,
2020-01-02,110.33221435546875,110.94148198907415,109.18753803394645,110.49837761527886,460700
2020-01-03,112.0030746459961,112.73234630326864,109.8798783251821,109.8798783251821,599700
2020-01-06,110.95072937011719,111.68000115645856,110.11991296524054,111.22766347647207,604200
2020-01-07,109.13216400146484,110.76609702412276,108.9936934300416,110.76609702412276,515100
2020-01-08,108.01517486572266,109.4367923783041,106.8151060305977,108.69828739624177,1039300
2020-01-09,107.09202575683594,108.35670595401665,106.97201467156485,108.2920873092184,789300
2020-01-10,106.94435119628906,107.63669702670471,106.90742524018484,107.63669702670471,917400
2020-01-13,106.2427749633789,106.87050214816146,105.65197373569016,106.87050214816146,704500
2020-01-14,106.61202239990234,107.28590875959569,105.86429117245417,106.15045852263195,723300
2020-01-15,107.88591766357422,107.97822900858979,106.13197393666152,106.84277904047607,829400
2020-01-16,108.49519348144531,108.67982324042812,107.33205065002176,107.78438827735074,510400
2020-01-17,107.57206726074219,108.70751740430218,107.10127017264118,108.31057222078668,661600
2020-01-21,108.36595916748047,108.7444449016799,107.34128686623976,107.452064724692,662300
2020-01-22,109.59371185302734,110.74762137465557,108.82751424036904,110.30451701947221,607300
2020-01-23,110.4245376586914,110.75686419306824,108.75367173782308,109.28908749241968,420100
2020-01-24,110.59990692138672,111.04301123388656,109.73217183388503,110.77530340550808,410900
2020-01-27,110.52609252929688,112.26157022544834,109.89836535530063,110.08298809469115,671200
2020-01-28,111.88307189941406,112.78774012388845,110.71993609453946,110.86763286089747,644000
2020-01-29,112.16000366210938,113.28622046360601,111.12609821224754,111.652280663761,386700
2020-01-30,113.71086883544922,113.82164669340243,111.85538021143863,111.8830729152006,410200
2020-01-31,113.74779510498047,114.64323009127376,112.861593367602,113.05544933738116,540000
2020-02-03,114.3386001586914,115.16018326746774,112.69543394113873,114.46783747628056,530300
2020-02-04,113.0554428100586,115.2432508018986,112.75080899960582,113.55393257909813,831500
2020-02-05,114.25550842285156,114.63399414750285,113.02775397644601,113.49854401645418,1134200
2020-02-06,118.09571075439453,118.09571075439453,113.31390964215797,114.42165991314762,991500
2020-02-07,113.12006378173828,117.46799419521001,112.62157400248033,115.39095696975443,860700
2020-02-10,114.18167877197266,114.29244959948072,111.9938633709089,112.63082380070473,526200
2020-02-11,113.83087921142578,115.0678740436606,113.15699990616612,113.90473112082309,422100
2020-02-12,114.03396606445312,114.32936665298075,112.41849255530713,113.48009084132704,356300
2020-02-13,114.71707916259766,114.74477891035836,113.1016056455977,113.41547273406862,331500
2020-02-14,115.97251892089844,116.12022271885333,114.12626370389066,114.8370759064653,371900
2020-02-18,114.04320526123047,115.81560888483038,112.33542029965015,113.54471542154813,823200
2020-02-19,111.1815185546875,115.22481593121555,110.9045773873897,114.62478143067459,577800
