Price,Close,High,Low,Open,Volume
Ticker,D,D,D,D,D
Date,,,,,
2020-01-02,63.107818603515625,63.86240467929706,62.761328533981406,63.816201695388635,3004200
2020-01-03,62.953819274902344,63.56210662279464,62.93072072205279,62.99231490481666,2840700
2020-01-06,63.43891525268555,63.63911252915154,63.02312362056647,63.02312362056647,2164400
2020-01-07,63.30033874511719,63.50823756642534,63.107842882539465,63.277240181529066,2555100
2020-01-08,62.89993667602539,63.50822417848095,62.79983508890222,63.46202118653707,2591100
2020-01-09,63.07701873779297,63.184815909686485,62.7613286985349,62.77672577687457,2206500
2020-01-10,63.19252395629883,63.623712688704,63.11552680758446,63.18482247907562,2420200
2020-01-13,63.17713165283203,63.45432610876561,63.092433020490866,63.20023021174211,1726600
2020-01-14,63.100128173828125,63.28492839280361,62.568843699165924,63.12323260707978,2872000
2020-01-15,63.900909423828125,63.90090942382812,63.2387233469382,63.26182777943947,2749400
2020-01-16,64.3012924194336,64.4783852484768,63.76230070718176,63.90859938078662,2657700
2020-01-17,64.71707916259766,64.74787331572857,63.785394481510906,64.47838041704854,3610800
2020-01-21,64.70169830322266,64.90959709212103,63.93941645111066,64.67859974323541,4520000
2020-01-22,64.43991088867188,65.0019954657952,64.42450793136311,64.87880117985999,2279400
2020-01-23,64.73247528076172,64.78637385969972,64.21658804314016,64.43988383431319,2270900
2020-01-24,64.6785888671875,64.94038033569674,64.27049871068448,64.70938890016016,2640800
2020-01-27,64.15499877929688,64.83258186769817,64.05490308000633,64.64008607132793,2226000
2020-01-28,65.0789794921875,65.15598251417379,64.2397005979903,64.25509767768409,2718800
2020-01-29,65.74884796142578,65.80274653649593,65.01736646054447,65.13285921104902,2973100
2020-01-30,66.58816528320312,66.74986108805263,65.39468869447167,65.71037882550915,3380500
2020-01-31,66.02605438232422,66.68824035396159,65.62566573353438,66.49574456859037,3968300
2020-02-03,66.09535217285156,66.3263494725347,65.93365641287552,66.18005079110169,2030300
2020-02-04,65.10979461669922,66.25707411573707,65.08669605455205,66.21087111693558,3025800
2020-02-05,65.38697814941406,65.61797548117354,64.77099505556576,65.01738946800631,2604600
2020-02-06,65.65645599365234,65.97985335850989,65.27146444575487,65.52556027724836,1594300
2020-02-07,65.30225372314453,65.93363952276464,65.2637580993956,65.78734675331256,2276700
2020-02-10,65.13286590576172,65.44856178826738,64.84027445023587,65.3022631232521,2329800
2020-02-11,65.61797332763672,66.3879565755564,65.34077888842515,65.64107188515335,3759800
2020-02-12,66.0491714477539,66.35716596556819,65.3330866905011,65.44858536899481,3463800
2020-02-13,66.40335083007812,66.91924404885611,66.02606069951393,66.02606069951393,3571400
2020-02-14,67.34272766113281,67.45822631207908,66.37254721749183,66.51884590032411,2881300
2020-02-18,68.51309967041016,68.53619822377514,67.2272234128779,67.6738150262842,3419500
2020-02-19,67.63532257080078,68.6825002098319,67.4967312320669,68.51310883765527,2665800
2020-02-20,68.72099304199219,68.77489162508414,67.54291981547883,67.60451987458534,3034800
2020-02-21,68.82108306884766,69.10597891289234,68.45919596901294,68.56699312632617,3126400
2020-02-24,69.14450073242188,69.98377968590005,68.4130130934254,68.55931179612594,4665600
2020-02-25,67.59683227539062,69.40629179294362,67.41203793464001,69.14450029975576,3879900
2020-02-26,66.81143951416016,68.37451034088332,66.77294387895863,67.91251572242018,3902100
2020-02-27,63.26963424682617,66.72580224315668,63.19957967660706,66.49227513141068,4549200
2020-02-28,60.85655975341797,62.11759574169161,59.463194477781734,62.11759574169161,8245700
2020-03-02,65.52703094482422,65.63600866286285,61.066706569407835,61.23795896599432,5612300
2020-03-03,64.90431213378906,66.89706076965567,64.55402737305448,65.20011396083235,5624500
2020-03-04,69.30237579345703,69.32572732333104,65.56598254254699,65.56598254254699,4571600
2020-03-05,67.85452270507812,69.11555878927298,67.07610668889824,68.01020947161985,3880800
2020-03-06,67.48867797851562,67.79225980257858,65.02110020288835,66.08753246872745,4520400
2020-03-09,63.308555603027344,65.71385746662331,61.92297649131744,64.11032289089266,6171300
2020-03-10,64.77978515625,65.48036079469675,61.54157151135982,64.66302156003502,4869600
2020-03-11,61.4559440612793,63.40198416377507,60.65417648926593,63.24630333111264,4258300
2020-03-12,55.50883865356445,59.93024142016997,54.333434862828746,57.99198739689457,6777600
2020-03-13,60.94218063354492,60.99666950819538,55.516620939575446,59.15960753591999,7362700
2020-03-16,53.43825912475586,59.93803148067041,52.83887548419723,55.485491049034344,6506700
2020-03-17,62.64692306518555,64.37500161785539,54.637021613806034,54.69151049692387,8190800
2020-03-18,62.475669860839844,62.7792516259169,57.198010327847676,58.521315153114685,6562700
2020-03-19,55.92918395996094,62.28884074837503,55.32202047850933,62.21878616459629,7855600
2020-03-20,52.32512283325195,56.07708759832007,51.64789879645514,56.06151595305527,9964200
2020-03-23,46.230125427246094,52.23949785357087,44.98466102411103,52.23949785357087,8042700
2020-03-24,51.118568420410156,52.47301630124257,48.277352295302784,48.90008439331119,6514400
2020-03-25,52.41852569580078,55.11962991385284,49.841970876765885,50.46470599416728,4987600
