Price,Close,High,Low,Open,Volume
Ticker,EMR,EMR,EMR,EMR,EMR
Date,,,,,
2020-01-02,67.7645034790039,67.78199267014914,66.71497184693271,66.96860849119867,2532300
2020-01-03,66.83740997314453,66.91612800775307,66.08524804238725,66.47007693888158,2672600
2020-01-06,67.38842010498047,67.42339848603888,66.25142921179693,66.3651256320286,3787200
2020-01-07,67.55460357666016,67.738270139262,66.79370019912653,66.9423817013207,2497000
2020-01-08,67.79074096679688,68.01813381649293,67.20474963316643,67.44089708755763,2554300
2020-01-09,68.04437255859375,68.0618617485341,67.37092197335168,68.00938750599656,2309100
2020-01-10,67.29220581054688,68.20179709505612,67.19599859094482,68.17555330294246,2628900
2020-01-13,67.68577575683594,67.72950873751986,67.30094687950857,67.47587212952828,1964500
2020-01-14,67.23099517822266,67.83446904607575,67.15227713380528,67.54585401045783,2280200
2020-01-15,67.04732513427734,67.58957679378622,66.74995550927719,67.23099166469649,2368000
2020-01-16,68.10559844970703,68.12308764060195,67.35343645960518,67.42339989590171,2438800
2020-01-17,68.0268783569336,68.55164081327148,67.92192986929602,68.07935260075239,5008300
2020-01-21,67.5633316040039,67.90442750158547,67.0648063173296,67.72076099309663,3146300
2020-01-22,67.36217498779297,68.04437351394157,67.23098937960727,68.02687765103909,3024300
2020-01-23,67.86070251464844,67.96565767731246,66.49631876360023,67.00359204073445,1819600
2020-01-24,67.0822982788086,68.07060763502005,66.67123893675193,68.07060763502005,2037700
2020-01-27,64.49346160888672,65.79662969749906,64.4847203509318,65.63045237833143,3566000
2020-01-28,65.0969467163086,65.49926481074215,64.37102189098184,64.8258209004921,4289700
2020-01-29,64.64215850830078,65.59547622655595,64.60717345358727,65.57798703555764,3087500
2020-01-30,64.5721664428711,64.59840355680579,63.54013103424674,63.84624181800934,2659400
2020-01-31,62.64805603027344,64.45849106917481,62.27197499935588,64.11739509610045,4309900
2020-02-03,63.49641799926758,64.14362481282177,62.744256024305926,63.059114835811584,3933500
2020-02-04,64.05615234375,65.3855574240316,63.82001162003326,65.19314300403963,3781100
2020-02-05,66.47880554199219,66.60999777971945,65.19313362315094,65.24560784915609,3944300
2020-02-06,65.81411743164062,67.0210716016312,65.51675452256075,67.0210716016312,2241700
2020-02-07,64.51969146728516,65.5429857137126,64.37975795587809,65.5429857137126,2283700
2020-02-10,64.18733978271484,64.51094643502323,63.645081610047654,64.24856194150672,2753100
2020-02-11,64.5721664428711,65.30683232390133,64.45846338553453,64.60715148568892,2729800
2020-02-12,65.94532775878906,66.10275718692276,64.98326199695767,65.20191360977014,3358000
2020-02-13,64.3957290649414,65.58432814482997,63.735395496418825,65.46106641608658,3549800
2020-02-14,64.72149658203125,64.72149658203125,63.92909494976024,64.32529240726551,2797100
2020-02-18,62.89895248413086,64.0171139591778,62.24741876685953,63.62091665097216,4292400
