Price,Close,High,Low,Open,Volume
Ticker,IFF,IFF,IFF,IFF,IFF
Date,,,,,
2020-01-02,108.59461212158203,110.22927657820425,107.9816113264539,110.16967314396426,881200
2020-01-03,107.57294464111328,108.79894626187459,107.06211279765583,107.53888831880555,1072800
2020-01-06,106.86628723144531,108.01566696281,106.86628723144531,107.53037575234147,1170300
2020-01-07,106.68749237060547,107.74321880240585,105.99786975440301,105.99786975440301,1244700
2020-01-08,105.6913833618164,106.95144138456106,105.648811332345,106.2873528009377,756100
2020-01-09,105.26566314697266,106.17664849151124,104.13331499569645,105.62324472245626,1121500
2020-01-10,107.26644134521484,107.8879578433181,105.51258301489634,105.82759911606911,1004900
2020-01-13,108.43283081054688,108.52648405736021,106.3469317582387,107.274942027744,839900
2020-01-14,110.08451843261719,110.4250685828971,107.76874103547843,108.1518632023322,1744400
2020-01-15,110.62942504882812,111.1147097440421,109.49707677178529,109.83762697926325,1051800
2020-01-16,113.34536743164062,113.56672378878541,110.49321045143579,110.72308900884391,819400
2020-01-17,114.8353042602539,114.98854798015084,113.0984641544639,113.54969909570667,929400
2020-01-21,114.76716613769531,115.81437029804633,113.66886775755916,114.11159339093263,912500
2020-01-22,115.70372772216797,116.47849461455708,114.6054419337534,115.01410490256329,707000
2020-01-23,115.8314208984375,116.60618763743427,113.96687779759958,115.4568078382123,952100
2020-01-24,115.61003112792969,116.85306397263643,115.09068365729392,116.03572535005222,687800
2020-01-27,114.06903076171875,115.44828900402656,113.86470583038269,114.83528822770262,889900
2020-01-28,115.32057189941406,115.62707228483485,113.83916419584509,114.82676500117182,752100
2020-01-29,114.9800033569336,116.93819922984089,114.80120608096334,116.22302311711562,710300
2020-01-30,113.20913696289062,113.32833084069713,109.95682645377865,113.26021819749937,1869000
2020-01-31,111.62556457519531,113.2431977869806,110.51875675026662,112.86859769974961,1367300
2020-02-03,115.6526107788086,116.08682722836224,111.44674950816191,111.94055639734286,1096500
2020-02-04,119.18586730957031,119.71372396268902,116.98076147073107,117.16806795883565,1171600
2020-02-05,121.46759796142578,122.26790524467313,119.6456270576924,120.1905151880288,1102200
2020-02-06,121.07598876953125,122.48928409186642,120.96530408499241,121.75708931424982,962200
