Price,Close,High,Low,Open,Volume
Ticker,ITW,ITW,ITW,ITW,ITW
Date,,,,,
2020-01-02,157.75575256347656,157.7731226052191,155.41130040770645,156.42722923355817,1257500
2020-01-03,155.5242156982422,156.35780561913134,154.13490357991435,155.17689429339137,1400800
2020-01-06,155.02928161621094,155.07270010777663,153.51841880564686,154.59512319948087,1587300
2020-01-07,154.39540100097656,154.89902631179453,152.98873208937408,154.26515878674016,1144100
2020-01-08,155.2029266357422,155.8281156991872,154.0393722263267,154.78612509380488,1168400
2020-01-09,155.97573852539062,156.1233507796268,154.65589338530106,155.81943462419466,1264400
2020-01-10,154.76878356933594,156.8701085317729,154.56906117557205,155.87153631134007,1157500
2020-01-13,156.14073181152344,156.1841370515294,154.73404959962045,155.07269261833616,698500
2020-01-14,155.11610412597656,156.5835615575148,154.74273428216904,156.03651776364944,1127000
2020-01-15,154.9163818359375,155.68049150360537,153.70942218245128,154.9163818359375,1262200
2020-01-16,156.1146240234375,156.29697632557924,154.87293773792453,155.88886649410574,1104200
2020-01-17,156.67037963867188,156.92219890750604,155.5415785007367,156.4185736192994,2144900
2020-01-21,154.4561767578125,156.05387628444672,154.05674525142337,155.61971794028779,1175900
2020-01-22,154.13491821289062,155.80208496348104,153.674711345515,155.50686041638414,1151000
2020-01-23,155.94969177246094,156.1059824258878,151.99884795636208,153.14501916321166,1431600
2020-01-24,153.08424377441406,156.2970130596364,152.18118694592636,156.2970130596364,1093800
2020-01-27,150.54005432128906,151.72965714893425,147.94379600104924,150.23615144154635,1226300
2020-01-28,152.70217895507812,153.49235035038643,150.14932567759692,151.27814006382854,1138400
2020-01-29,152.65875244140625,154.54299803535162,152.21591570716652,153.53576076240665,1228200
2020-01-30,154.47354125976562,154.55169983520463,151.01764437766997,151.06106286414456,1647600
2020-01-31,151.93807983398438,155.83682728930862,151.86861289553173,154.47356346491966,3070500
2020-02-03,153.22317504882812,156.42725263297373,151.59073536679338,152.45905209137157,1898000
2020-02-04,158.0596923828125,158.63278460115075,155.23766302672283,155.7499667145729,1178200
