Price,Close,High,Low,Open,Volume
Ticker,JBHT,JBHT,JBHT,JBHT,JBHT
Date,,,,,
2020-01-02,111.19105529785156,111.63574499504398,110.16922328263392,111.55059533482577,623100
2020-01-03,110.72742462158203,110.89773112787194,109.61097246224125,109.61097246224125,535200
2020-01-06,108.8067626953125,109.9421347229863,105.2303328677688,105.2303328677688,928700
2020-01-07,111.31407165527344,111.5127614371124,107.85117403845538,108.66486012704583,614500
2020-01-08,112.3642807006836,112.97927693338784,110.97344517675054,111.42759113241043,652300
2020-01-09,112.61971282958984,113.66047157561152,112.11825680223055,112.94140609640718,1058500
2020-01-10,112.66706085205078,113.64159002034236,112.39267766180507,112.98874700842946,558600
2020-01-13,112.11829376220703,112.90359662395689,111.3897645653865,112.39267695071676,566800
2020-01-14,112.58186340332031,113.31985581950721,112.01417748460102,112.35479047953622,613800
2020-01-15,112.62920379638672,113.95380944121834,112.14666738764748,112.43997029368505,654100
2020-01-16,113.31043243408203,114.33226449682039,112.72381939072542,113.31043243408203,1119400
2020-01-17,108.50399780273438,112.59134726338715,106.71578286485624,108.39992118996733,3945800
2020-01-21,109.62045288085938,112.0047371188702,108.57969394536671,108.96760996943706,1869100
2020-01-22,108.14446258544922,109.93267748328962,107.51053944410174,108.35260858780354,1323500
2020-01-23,110.22599029541016,110.47199023485157,107.77547603613564,108.3715453163192,982700
2020-01-24,109.4785385131836,110.65175737896072,107.86062993044928,110.61391789619516,561500
2020-01-27,108.62699890136719,109.20414842701435,107.34970349257357,107.54839324785083,837300
2020-01-28,106.78202819824219,109.40284919814765,106.69687131253758,108.83516309469194,702900
2020-01-29,105.9021224975586,108.01203126225131,105.79804585965547,107.00911158959593,784300
2020-01-30,105.66556549072266,105.89263846638953,104.30311319968196,105.31548893857477,537500
2020-01-31,102.11751556396484,105.76963889658738,101.72959232456569,105.21140912597971,921300
2020-02-03,104.49236297607422,105.14519878515154,101.99453819898662,102.70414767471652,735700
2020-02-04,107.1888656616211,107.88901157889954,104.59642801876406,105.45741700027187,814600
2020-02-05,106.09130096435547,108.93920117268661,105.76015145606532,107.99305559556164,549100
2020-02-06,106.2525634765625,106.85955782195697,104.64971518916033,106.46121913953124,574200
2020-02-07,106.71729278564453,107.18202848810321,105.16186885874403,105.48433867751011,768500
2020-02-10,106.2905044555664,107.6752107963877,105.11445378346157,106.41379769801541,523500
2020-02-11,106.61296844482422,108.03561275989723,106.44225083757773,107.09666230206996,435500
2020-02-12,108.08304595947266,110.41618211464437,106.79318100988995,106.87854344417187,451600
2020-02-13,108.33911895751953,108.79436112417223,106.91647452382824,107.34326495955811,583100
2020-02-14,104.39366149902344,108.44345331690424,104.27984732494903,108.35809811330695,923100
2020-02-18,103.95735168457031,105.02907434876192,102.35450361258097,104.39362835944324,670200
2020-02-19,104.43157196044922,105.01011452954133,103.8530293913571,104.42208563946366,348000
