Price,Close,High,Low,Open,Volume
Ticker,KLAC,KLAC,KLAC,KLAC,KLAC
Date,,,,,
2020-01-02,169.92201232910156,170.04299659601207,167.5486671320969,168.25601111402102,1056900
2020-01-03,166.67376708984375,168.6189734740208,165.53828463937654,166.90644768704283,833400
2020-01-06,162.92295837402344,165.25906647700558,162.02945862449232,164.10497979424474,1266800
2020-01-07,164.21665954589844,165.45452201962098,162.2249142141388,163.93743999063005,1139300
2020-01-08,164.4307403564453,166.28288322136711,163.3604151752366,164.27251923758737,883500
2020-01-09,163.3324432373047,166.9901746496219,162.82984529867423,166.05015034456713,916900
2020-01-10,161.0242919921875,165.13808367104374,160.0377284305127,164.18875696171403,883800
2020-01-13,162.96949768066406,162.97879979203952,161.3500355944383,161.91777682567002,662000
2020-01-14,165.18458557128906,165.87332516815292,162.0108334033541,163.72335898282137,1279600
2020-01-15,165.59414672851562,166.320109147784,163.6675585240568,164.82164534356116,922800
2020-01-16,168.37696838378906,169.23323116345807,166.60858755912275,167.0646465816214,1197200
2020-01-17,166.34800720214844,168.36767306498797,165.0729220845489,168.3397525296899,1604700
2020-01-21,166.4224395751953,168.35834351664894,165.26835309976497,165.3427983806299,1571400
2020-01-22,167.65101623535156,170.1174247054569,167.4090193427933,167.53001778907245,1084600
2020-01-23,169.90338134765625,170.00576138236784,166.7109960483388,167.36251310651997,1056900
2020-01-24,166.97161865234375,171.71830930570124,166.06881664885537,171.14126587317426,961000
2020-01-27,158.51132202148438,163.09047430427677,158.08319769109715,162.66234997388958,1581300
2020-01-28,163.74195861816406,164.11425603916365,159.8050074773194,160.27036860229802,938100
2020-01-29,159.82363891601562,164.6820105926298,159.7677978487412,164.13288782883708,1028900
2020-01-30,160.94052124023438,163.2207883583374,157.82260961399464,161.4803419550081,1448000
2020-01-31,154.2579345703125,160.78229343440307,153.80187548500786,159.50720830018983,1505700
2020-02-03,158.15765380859375,158.82777508626012,155.43994604992332,155.68194296789548,1181500
2020-02-04,166.4131622314453,166.4131622314453,161.79677303762128,162.25283211053195,1735900
2020-02-05,159.41412353515625,165.47312094245524,157.10593607547514,163.86297524774065,3113100
2020-02-06,159.84228515625,161.3779715803338,158.36242560746052,159.5537492556257,1370300
2020-02-07,153.66226196289062,159.4048170198092,153.34580557822727,158.88361478863993,1492800
2020-02-10,157.21762084960938,157.30138245440284,152.7129279925627,152.73154641641557,1680300
2020-02-11,161.05218505859375,161.50824411099035,156.66849085563965,157.48753104714515,1269000
2020-02-12,163.77919006347656,164.2352490635354,161.80606350313735,161.94566615535228,957700
2020-02-13,166.3386993408203,167.60448230346276,162.79264946358492,163.50929544705676,1158000
2020-02-14,164.0677490234375,167.30665910729422,162.77404541223487,166.710997319439,864800
2020-02-18,157.50611877441406,160.08422332419082,155.12347214139484,155.43061218104572,1778300
2020-02-19,160.99635314941406,162.70889312013216,159.15352681539503,160.27970714277672,1069300
2020-02-20,156.47877502441406,161.26760078325535,154.95420142791863,160.63159110608333,1664400
2020-02-21,150.69851684570312,155.49670546710155,150.40857038516674,154.95421900758944,1909900
2020-02-24,143.78648376464844,146.71403472265038,143.010167833325,144.7405124632637,2649600
2020-02-25,137.8752899169922,145.90032356841635,137.5572850835832,145.23624121928464,2046900
2020-02-26,137.74436950683594,140.9057365618637,136.76228215606048,139.3624666333799,1879300
2020-02-27,138.4178009033203,138.78257457630505,133.06777751832485,133.57284326867725,3589700
2020-02-28,143.76780700683594,143.9735639382994,132.89939677860247,132.89939677860247,3695100
2020-03-02,148.4724578857422,148.71563554815185,141.8971702356424,144.50670246660036,2706400
2020-03-03,143.861328125,148.98686922113563,142.5238295955657,146.66728346747107,2397400
2020-03-04,150.3150177001953,150.3150177001953,144.6563388512152,146.92915558204723,1493300
2020-03-05,146.5550537109375,148.6034034488054,144.48799360751158,146.5176329798215,1697000
2020-03-06,145.61036682128906,146.04061958013875,141.6913945747526,142.21517061382062,1858400
2020-03-09,135.54638671875,140.75611882152484,134.92907294045574,135.60250355826204,2815600
2020-03-10,144.5721893310547,144.7498878600985,136.16367076562085,138.90414715683391,2438500
2020-03-11,135.54638671875,142.3742162053892,133.39515081585944,140.4194035126217,2730500
2020-03-12,117.25151062011719,130.00925252748036,117.14862502925838,126.49246061855106,2672700
2020-03-13,135.9672088623047,136.33198240739392,119.61784991734115,124.22897629174993,2804300
2020-03-16,121.12373352050781,131.39352561748663,118.02783188158395,120.36612789549336,2752300
2020-03-17,139.95169067382812,140.70929626139494,117.51339809559676,123.34042747812383,3213600
2020-03-18,123.48075866699219,133.87214830310907,119.1221708093469,123.69587793685736,2664600
2020-03-19,119.1221694946289,126.6608346226115,118.56097979936942,123.34981327980627,1954800
2020-03-20,106.64501190185547,123.9764696476624,105.76581736698378,121.32016854107937,2632600
2020-03-23,108.83367156982422,112.8836027721778,103.06275758921986,106.92562079225408,2124900
2020-03-24,127.54002380371094,127.71773659185445,112.23821346392302,113.82825196696322,2776100
2020-03-25,128.5782470703125,136.50039663000425,125.69746411480378,126.94143954594362,1703000
2020-03-26,140.0732879638672,140.7373703525939,130.06538325821353,131.66478411049343,1870400
2020-03-27,133.0397186279297,137.65083233078465,132.17922725554587,135.65859920830272,2240600
2020-03-30,139.8488006591797,140.83088775977413,132.81520282340657,132.88068195696457,1623700
2020-03-31,134.4426727294922,141.0834248447087,132.37561277396327,141.0834248447087,2907200
2020-04-01,123.09725189208984,132.0856620457977,121.2733839153907,129.72865574492647,1660800
2020-04-02,123.87355041503906,125.1362214802866,120.9459997467889,121.18919162399231,1346000
2020-04-03,119.66464233398438,124.38800326443994,117.43857990143653,122.3583639819867,1143700
2020-04-06,138.89479064941406,139.5588730324596,124.33187544599853,126.46441465473706,1846000
2020-04-07,137.74436950683594,144.97437804143547,137.04288058082898,144.13259703895864,1454100
2020-04-08,142.5144500732422,143.24399723246998,137.40761995864776,139.91426624485084,1350000
2020-04-09,140.41000366210938,147.65872177945204,138.88544426614303,142.3086990078736,1303800
2020-04-13,142.25257873535156,142.5612355345182,138.59548019374841,139.83010739041492,868300
2020-04-14,151.26904296875,151.8395877716676,143.86132284892184,145.0678915941569,1274700
2020-04-15,143.3094940185547,148.06091345610662,141.33597151862492,147.94866553728951,1278600
2020-04-16,146.51766967773438,150.3524820834633,144.2542001204195,147.97677884834414,1563000
2020-04-17,150.7826690673828,151.7928002697974,147.583867929713,150.52076681392114,998100
2020-04-20,146.19027709960938,149.96895737119414,145.95644748629323,148.51921091426874,634800
2020-04-21,138.97894287109375,144.20736874659272,137.9220428961791,143.5152423380658,1284700
2020-04-22,148.41632080078125,149.05234475101219,141.5043182121963,144.32898385127976,1207500
2020-04-23,149.13653564453125,150.4366278206852,146.85435616481857,148.19186907411788,1404500
2020-04-24,154.25271606445312,154.86068161612005,147.7990245098938,150.5675591117778,1492500
2020-04-27,155.31898498535156,158.29330518229455,153.99083445226594,156.23559310247285,1030500
2020-04-28,155.515380859375,159.72431329387726,155.21607214688999,157.49825112820096,1198900
2020-04-29,164.51315307617188,165.71035948839824,157.32991460281363,158.93864912338404,1518900
2020-04-30,153.47640991210938,163.9706846698288,153.36417625860255,162.6986509333832,1241400
2020-05-01,140.55030822753906,148.61274874257282,138.1558952662556,148.06091427936687,2692500
2020-05-04,142.1684112548828,142.98213377863314,137.99688448714195,139.9984654957784,1473200
2020-05-05,145.56362915039062,150.2963386859049,144.0016488990295,146.33994525229375,1868900
2020-05-06,153.21449279785156,158.19039314587198,148.21054831360402,152.84037117593914,2422700
2020-05-07,153.24253845214844,158.71415591614354,152.9900128006955,156.5442107285371,1682200
2020-05-08,160.40707397460938,161.23950661561634,154.96351510936898,156.03913962039772,1265400
2020-05-11,157.86305236816406,158.95737328030242,156.4600746441158,158.24653637130916,1145800
2020-05-12,154.86070251464844,160.11718831205675,154.71104811818125,159.20992815723898,965300
2020-05-13,153.45770263671875,157.70404205632593,150.26826334489238,154.6736051859918,1805100
2020-05-14,165.31753540039062,165.5139585537375,148.61274737689533,152.03601631594103,2683500
2020-05-15,157.3571014404297,161.29502575536867,155.99433893159596,157.92101009136428,3709900
2020-05-18,161.94351196289062,163.03372767639226,158.62588438675616,161.47359288025635,1492100
2020-05-19,162.14089965820312,166.94347371163204,160.8439182781276,161.84955209387743,1074800
2020-05-20,167.2160186767578,169.36825628668618,164.44349872469914,164.94161184683063,1302600
2020-05-21,162.0562744140625,166.58630087575878,161.52057416182856,165.53368680765624,1001800
2020-05-22,162.59202575683594,163.50367005429678,160.1484404426698,163.31570526262115,666400
2020-05-26,166.01303100585938,169.4810365076346,164.18034925230162,166.26679135351932,1911100
2020-05-27,166.09759521484375,168.13704231604837,158.11837835625673,167.40396969315609,1659600
2020-05-28,164.10513305664062,169.37762543045372,162.96792263292775,166.97164216197422,1272000
2020-05-29,165.37393188476562,167.263001457278,163.12771921604784,165.41151910188555,1792100
2020-06-01,165.37393188476562,167.66712498968516,163.01492888310312,164.47168092517026,1085400
2020-06-02,166.62387084960938,166.86823790498636,162.53558419973112,164.7536024285974,892600
2020-06-03,174.8568878173828,175.70273640223942,167.6483310456116,168.08064855670122,1659800
2020-06-04,175.0824737548828,177.74221791274996,172.63890273528656,173.69151706121758,1068700
2020-06-05,180.90000915527344,184.44320233140476,177.93952527455008,178.77598049747877,1500200
2020-06-08,180.32675170898438,182.38499967137335,177.41326187950006,181.97146856686504,816400
2020-06-09,179.5373077392578,180.96586595824775,177.30048801567023,179.0767818135797,776000
2020-06-10,181.17263793945312,183.26847338894,178.88882335231614,180.8530820099248,779600
2020-06-11,169.71597290039062,179.80983967824784,169.0204875146862,179.80983967824784,1460300
2020-06-12,173.5786895751953,176.9996994607203,169.23664242762638,174.96964585635416,1253100
2020-06-15,176.45460510253906,176.81174817329122,165.95661513770642,167.51674984165464,1270800
2020-06-16,181.37939453125,185.1199468642752,177.37567428671306,182.19704924449474,1482500
2020-06-17,182.2252197265625,184.49023312721314,180.60869694890903,181.54853510611258,1246200
2020-06-18,182.08425903320312,182.60115857341478,180.49593017193126,182.60115857341478,938000
2020-06-19,181.4827423095703,185.61802420102345,180.49590943933066,184.6123905534178,3331000
2020-06-22,180.31735229492188,182.1124466456439,177.95836364534594,177.95836364534594,1179200
2020-06-23,181.5861358642578,183.4188173945824,180.721472143538,183.4188173945824,1089200
2020-06-24,177.2722930908203,181.38878937660783,174.51857379371,180.64632343988617,1486600
2020-06-25,180.77789306640625,181.11623540993057,176.14448303816505,179.4245236923091,1133700
2020-06-26,178.16513061523438,181.5767334559199,177.6670031864477,181.0410331506852,1713500
2020-06-29,180.19520568847656,180.21400647119742,175.36443706647887,179.07679573970825,677300
2020-06-30,182.77972412109375,184.07670539067178,179.53728528794116,179.53728528794116,1253500
2020-07-01,181.5297393798828,183.52220608034736,180.37374242977057,182.77972588464823,1262000
2020-07-02,184.68760681152344,186.28534328724277,182.582378338508,182.85492511732036,1247000
2020-07-06,191.3416290283203,194.08595446893983,186.29470318678008,187.39431200662898,1367400
2020-07-07,190.4958038330078,192.97697606544244,189.65934842277622,191.23826968851074,1311300
2020-07-08,192.20631408691406,193.35291789167357,189.07665101400102,191.0973118427529,748700
2020-07-09,191.3416290283203,194.06716803292903,188.5691095928937,190.78712800939317,1083700
2020-07-10,190.09169006347656,191.91497866641242,186.30414284842706,191.35108428890697,994900
2020-07-13,187.56350708007812,195.27957028545865,187.10298122241733,192.62923415117822,1152500
2020-07-14,188.84164428710938,189.51832880093255,182.3379669849555,185.9093542877356,1612000
2020-07-15,184.24588012695312,191.88676951876158,182.61996400599574,189.71574550401877,1454200
2020-07-16,184.24588012695312,185.59924947141445,181.388778220374,182.30981566949058,989600
2020-07-17,185.3360595703125,186.44507592041094,183.2872195161847,186.10673365064417,824200
2020-07-20,190.79653930664062,191.6987902483342,184.74399361495003,185.44887223350082,756600
2020-07-21,191.2664794921875,192.366088537575,188.71011827288206,191.60482184006008,921000
2020-07-22,193.55027770996094,194.4243203366085,190.98452348568134,192.65743430423066,947000
2020-07-23,191.65179443359375,196.70812828564814,190.1198536551924,193.39989397175734,1156100
2020-07-24,176.886962890625,185.39248755876437,175.88132908211279,184.57483287240686,2477400
2020-07-27,185.21392822265625,185.97519489999033,178.747836563968,180.70270181754339,1857900
2020-07-28,180.89065551757812,185.0823257664226,180.62750197463689,183.55039928589875,1152000
2020-07-29,183.390625,183.94512607336623,178.88879217661582,179.97900788549302,1479800
2020-07-30,185.9939422607422,187.0277698403972,182.09362013355258,183.08984616078902,1166700
2020-07-31,187.807861328125,187.96763209451026,183.30602850861783,187.96763209451026,1149000
2020-08-03,195.15740966796875,195.52394601708042,190.3172483475462,190.4018303494657,1804600
2020-08-04,192.57286071777344,192.8266210725936,188.1086288209607,188.19322516643027,1727800
2020-08-05,191.7176055908203,193.79464004708905,190.19505790735099,193.6254760493665,834900
2020-08-06,191.3416290283203,191.91493082404915,188.8980586533642,191.02208752664612,1036700
2020-08-07,190.64617919921875,194.1047767935456,188.24018142919155,189.71573424492254,991000
2020-08-10,190.87168884277344,191.12544910870815,186.32287653461316,189.28336038762424,1018900
2020-08-11,188.47515869140625,192.49767964501333,188.01464712128117,191.31347425716305,745100
2020-08-12,195.48634338378906,196.20061524500602,189.01085883283275,189.43378314987953,823600
2020-08-13,197.32846069335938,197.61040071774696,194.0014249976388,195.28899891165779,1152700
2020-08-14,199.64093017578125,203.1238649726494,197.74372823065062,198.29118276264757,1209400
2020-08-17,204.47361755371094,206.30475501535642,200.8679733721156,201.22665393955953,1320400
2020-08-18,199.8768768310547,205.67232419402623,199.50876263578147,205.49299832660782,842700
2020-08-19,198.72537231445312,200.78304735131502,197.7343054305487,200.77361369426455,734300
2020-08-20,195.24246215820312,197.1113489336475,193.5717830091154,195.00649109656766,915200
2020-08-21,192.52407836914062,195.26133702901907,190.76845302653692,195.14807552386114,1425900
2020-08-24,196.66770935058594,196.96031114351317,193.7794260490686,195.85596837543474,922200
2020-08-25,198.47996520996094,199.32945521519383,195.5633665357944,196.35622579434906,869600
2020-08-26,200.3205108642578,200.72638850108063,197.83810556972804,197.9985641323001,615200
2020-08-27,192.9770965576172,202.12333556319757,192.0804095654585,201.7835367195605,1158900
2020-08-28,196.9036407470703,197.1962424810774,192.50513787434426,193.29799697343321,828900
2020-08-31,193.62840270996094,196.4317399144184,192.53349358984676,196.1202564025309,930100
2020-09-01,196.2807159423828,196.79042147432688,193.03375199935945,194.3363168004055,738100
2020-09-02,203.44480895996094,204.03946065811462,197.2718121791249,198.85753083749344,1171500
