Price,Close,High,Low,Open,Volume
Ticker,RCL,RCL,RCL,RCL,RCL
Date,,,,,
2020-01-02,131.024169921875,131.17013966521932,129.87595181666669,130.92687160754937,1014400
2020-01-03,129.89541625976562,130.0219055520508,128.26064720589895,129.21425382604397,1229400
2020-01-06,128.0854949951172,128.31902281418309,126.87888015429891,128.0465637933375,1518000
2020-01-07,126.92755889892578,128.54286255310555,126.92755889892578,127.55032460503169,1211400
2020-01-08,128.65960693359375,129.13641765484428,126.51885107213015,126.83996667853519,1429600
2020-01-09,130.31382751464844,131.4231292310511,129.36022091406807,130.31382751464844,1227300
2020-01-10,129.60348510742188,130.868481901999,129.11694902088476,130.55709167962178,835400
2020-01-13,129.52565002441406,130.09003372089242,128.94180072518694,129.62296319025342,1244700
2020-01-14,129.3699493408203,130.02190594980496,128.9807263899919,129.79810349547384,1112300
2020-01-15,129.048828125,130.26516835343773,128.4649937240918,129.33102737282334,872900
2020-01-16,130.4403533935547,130.52792634283725,129.3115858875596,129.55485397861514,800600
2020-01-17,131.4134063720703,131.6761400290663,129.66187340527017,129.90514146043952,906000
2020-01-21,126.18799591064453,129.75918395480798,124.76731881187584,129.61321421590208,3369900
2020-01-22,125.65281677246094,127.89087093339023,125.32196094312152,127.05404310313537,1836700
2020-01-23,126.10042572021484,126.27558644113306,120.14522847126382,123.31744599456407,2123100
2020-01-24,123.1033706665039,125.56523481202832,120.66095727521044,125.56523481202832,2689600
2020-01-27,113.76188659667969,116.262682120398,112.70123392512038,115.3966409400107,4937300
2020-01-28,117.18710327148438,118.33532894011019,114.14138949214139,116.0194194224204,2576700
2020-01-29,118.364501953125,120.48579964857493,117.4887354873059,118.20881426139701,2121300
2020-01-30,116.47674560546875,116.87570879232224,112.38011231504845,112.38984511627594,4088500
2020-01-31,113.92729949951172,117.35251051352056,113.53806911920454,116.48647681491187,2020100
2020-02-03,113.31426239013672,116.15563904865965,111.1832391761848,113.22668944970614,3064500
2020-02-04,114.8225326538086,118.81212764258262,113.5672684822274,118.68563091482423,3308000
2020-02-05,115.0755386352539,117.56660148523383,114.44304012051444,116.28214627521882,2455000
2020-02-06,113.5283432006836,117.06060039296825,113.46022843679684,115.70803049296501,2518700
2020-02-07,108.54621887207031,111.23189309554587,107.5439481592172,110.31721017477632,5071200
2020-02-10,106.74602508544922,108.18617531207431,106.57087177983202,107.79694491915248,2737600
2020-02-11,110.01554870605469,110.9107808385749,107.2812179971658,108.06940416188841,3238600
2020-02-12,114.0732650756836,114.85171843456241,111.37785073989168,111.48488928312976,3994700
2020-02-13,110.56047058105469,112.8569216613632,110.37558447979065,112.38984371962586,3140500
2020-02-14,110.11286163330078,110.5604739866127,109.41224841109003,110.29774031630755,2555700
2020-02-18,108.40997314453125,109.72361907859381,107.72881817668113,109.46088543741044,2977800
2020-02-19,108.020751953125,109.2468176360911,107.68990352950173,108.21536343246665,2531900
2020-02-20,106.84333801269531,108.00128896350894,106.47356579946803,107.8845250426601,2867900
2020-02-21,103.2527084350586,106.12326891973592,102.31855986285221,105.90919181328078,3352400
2020-02-24,94.00850677490234,98.28029318165414,93.7944297009318,97.2585643918681,7476900
2020-02-25,87.13863372802734,95.7113989345166,86.88563283304808,95.1470151780063,5906100
2020-02-26,80.12277221679688,88.53012399147441,79.61677787092712,88.00466404156002,9748000
2020-02-27,74.92656707763672,78.40043489064178,68.60159712952452,77.36898062861442,14785900
2020-02-28,78.2447509765625,79.16916673652261,71.5013593156877,71.9295061000294,9924700
2020-03-02,78.39070892333984,79.31513214303018,74.71249649758944,79.30539934047785,7890200
2020-03-03,76.08452606201172,79.73354721335845,74.71249054560813,79.5583939011357,7591300
2020-03-04,77.22301483154297,77.99174280467183,73.29180202635403,77.79712389909685,10264600
2020-03-05,64.64405822753906,74.60895216393038,63.07168978052701,73.73432198097855,16079000
2020-03-06,63.88735580444336,69.1154853570395,59.31765433985184,61.61724543996533,16949000
2020-03-09,47.43643569946289,55.32776607337044,46.54215045316262,55.25897518894904,19180300
2020-03-10,50.777713775634766,51.78992935061866,39.50579068817693,50.14876647592921,30322600
2020-03-11,43.603782653808594,50.11929161319399,40.48852652356034,47.72142881500143,23724700
2020-03-12,29.74727439880371,38.876848307629025,28.50903284002335,33.412861389631054,28866300
2020-03-13,31.771697998046875,36.69517911859471,28.11593713684529,36.370876058859004,27483000
2020-03-16,29.4229736328125,34.867303687450566,28.774371169162677,29.38366348378593,25379100
2020-03-17,27.182342529296875,30.897066824025636,26.36667577767254,30.680864778797666,18129200
2020-03-18,21.944387435913086,25.845829592214756,18.917575440422006,25.570666058158928,24554800
2020-03-19,22.02300453186035,23.73295647767424,20.19512402539235,21.384229670545356,17031500
2020-03-20,23.398826599121094,27.61474385170563,21.620083860858234,24.02777576785449,22221500
2020-03-23,27.70319175720215,28.813677136525722,22.376788827332856,23.61503030635165,20278800
2020-03-24,33.8747444152832,38.90632692419097,31.584979004230238,33.904225150573744,28057200
2020-03-25,41.67762756347656,44.66513113352686,34.110597023723834,39.8006112330557,32761400
2020-03-26,39.908714294433594,49.0088034800221,37.19637410602268,42.09037873961341,35085100
2020-03-27,33.90422439575195,36.881898556103714,32.233580704747645,36.862243483406985,31129200
2020-03-30,29.255905151367188,32.06651668320131,27.61474414755235,31.752043032670937,25443700
2020-03-31,31.614459991455078,35.03436776764235,27.811291406970945,28.145420155273293,26187400
