Price,Close,High,Low,Open,Volume
Ticker,STT,STT,STT,STT,STT
Date,,,,,
2020-01-02,66.54638671875,66.55462221032225,65.2609396437486,65.39278294852198,1942000
2020-01-03,65.56582641601562,65.87070936120715,65.12910644495422,65.75534960608282,1511000
2020-01-06,66.57110595703125,66.63702760960639,65.30214243481656,65.87894117826197,2214800
2020-01-07,67.49397277832031,67.56812990331319,66.7523700952256,67.05724665792947,3139200
2020-01-08,67.14791107177734,67.82359235819717,66.79359001385991,67.50223212969478,1941200
2020-01-09,68.32623291015625,68.3427164679173,67.15615177453353,67.69999602121285,1959500
2020-01-10,67.31270599365234,68.28502832491546,67.23854256597375,68.12846597830972,3093200
2020-01-13,67.63406372070312,67.74118168275294,66.9748598199684,67.46925960220229,2212400
2020-01-14,67.18087768554688,68.02959868449503,67.16440041273835,67.53519877397179,1825300
2020-01-15,66.91718292236328,67.2715039345848,66.25798527898377,66.75238508317705,2645900
2020-01-16,66.8594970703125,67.28798147248995,65.28565710094841,65.97781550758795,5115800
2020-01-17,68.02958679199219,70.77351430267859,67.32918651730417,69.32326937024861,7394000
2020-01-21,66.99959564208984,68.13672234125028,66.80183693700641,67.36215850693935,3117700
2020-01-22,66.36510467529297,67.27150538361026,65.99430009918495,67.08198849312737,2744000
2020-01-23,66.29918670654297,66.33214753424812,64.93958242522206,65.96958471612652,3242900
2020-01-24,64.55231475830078,66.45576368552781,64.18151636666039,66.34040390650028,2782600
2020-01-27,62.170936584472656,63.33278220152432,62.12974026427408,62.747741646969175,3330700
2020-01-28,63.0361328125,63.415172856714996,62.27805272407002,62.77245250840982,2449100
2020-01-29,62.81366729736328,63.80246705789589,62.665346704619836,63.43166871935505,1879900
2020-01-30,63.95077133178711,64.15677175321753,62.02260411814882,62.22036904909846,3378800
2020-01-31,62.319252014160156,63.390456836900135,61.94845372986113,63.35749601148594,2389300
2020-02-03,62.698299407958984,63.92606672332398,62.60766498576512,62.63238403605757,1966700
2020-02-04,64.05790710449219,64.83247091622674,63.76950769160242,63.76950769160242,2222200
2020-02-05,65.95309448242188,65.9778135266834,64.9230923939657,65.14557007895334,2530700
2020-02-06,66.14261627197266,66.7441403025468,65.08789506070748,66.463982731207,2476100
2020-02-07,65.21149444580078,65.85421476998748,64.73357194799843,65.38453404949458,1599500
2020-02-10,65.20326232910156,65.58230241525197,64.89014389792558,65.03846447830053,1725500
2020-02-11,65.7388687133789,66.43926905120543,65.41750848441573,65.42575026344016,1845200
2020-02-12,66.27446746826172,67.41982950954758,66.16734949350202,66.35686639397188,1381600
2020-02-13,64.9725341796875,66.17557593306617,64.6594157901673,65.74709780600516,1908700
2020-02-14,64.1485366821289,65.34334302330956,64.04141871497531,64.99725750128522,1855600
2020-02-18,63.34925842285156,64.63470555247494,63.20093784199637,63.7777428949377,1809800
2020-02-19,64.89838409423828,65.02198562264317,63.36574022994127,63.67885865348344,1948200
2020-02-20,64.18151092529297,65.4422328939489,64.14855009313149,64.3710341385625,1586500
2020-02-21,63.55526351928711,64.14854588601204,63.03614459172055,63.81070838012649,3684500
2020-02-24,60.98438262939453,61.36342275055296,60.16861621867092,60.98438262939453,4078500
2020-02-25,58.38052749633789,61.017337083586725,57.76252613338449,60.992611748295225,4729100
2020-02-26,57.795494079589844,59.06445778889178,57.30933596510076,58.56181611551128,5197200
2020-02-27,57.16923522949219,59.71540373135223,55.6201143089641,56.246357356255885,5523000
2020-02-28,56.12275695800781,56.30403834002721,53.90619034689923,55.21635633454497,5657300
2020-03-02,56.60068893432617,56.72428418218195,54.054519955698886,55.99916481934222,4156900
